nom_amenageur,siren_amenageur,contact_amenageur,contact_operateur,nom_enseigne,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner,consolidated_longitude,consolidated_latitude,consolidated_code_postal,consolidated_commune,consolidated_is_lon_lat_correct,consolidated_is_code_insee_verified
ELECTRA,891624884,help@electra.com,help@electra.com,ELECTRA,,Gradignan - Hôtel Campanile,Station dédiée à la recharge rapide,1 allée des demoiselles 33700 Gradignan,33281,"[-0.60280900,44.79029300]",4,FRELCECTCH,,150,false,false,true,false,false,false,true,true,true,,Accès libre,true,24/7,Accessibilité inconnue,Inconnu,false,Direct,N/A,2023-02-03,Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com,2023-08-02,,2023-08-02T03:05:18.427000+00:00,623ca46c13130c3228abd018,e9bb3424-77cd-40ba-8bbd-5a19362d0365,electra,-0.602809,44.790293,33700,Mérignac,False,True
ELECTRA,891624884,help@electra.com,help@electra.com,ELECTRA,,A55 - Aire de Gignac Rebuty (direction Martigues),Station dédiée à la recharge rapide,A55 - Aire de Gignac Rebuty 13740 Le Rove,13088,"[5.25625700,43.39215200]",8,FRELCERW8K,,300,false,false,true,false,false,false,true,true,true,,Accès libre,true,24/7,Accessibilité inconnue,Inconnu,false,Direct,N/A,2023-06-16,Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com,2023-08-02,,2023-08-02T03:05:18.427000+00:00,623ca46c13130c3228abd018,e9bb3424-77cd-40ba-8bbd-5a19362d0365,electra,5.256257,43.392152,13740,Le Rove,True,True
ELECTRA,891624884,help@electra.com,help@electra.com,ELECTRA,,Aubervilliers - Lab Village mobilité,Station dédiée à la recharge rapide,102 rue du Port 93300 Aubervilliers,93001,"[2.37351000,48.91973300]",4,FRELCEUSP8,,150,false,false,true,false,false,false,true,true,true,,Accès libre,true,24/7,Accessibilité inconnue,Inconnu,false,Direct,N/A,2021-12-20,Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com,2023-08-02,,2023-08-02T03:05:18.427000+00:00,623ca46c13130c3228abd018,e9bb3424-77cd-40ba-8bbd-5a19362d0365,electra,2.37351,48.919733,93300,Aubervilliers,True,True
ELECTRA,891624884,help@electra.com,help@electra.com,ELECTRA,,Aubervilliers - Lab Village mobilité,Station dédiée à la recharge rapide,102 rue du Port 93300 Aubervilliers,93001,"[2.37351000,48.91973300]",4,FRELCELYCG,,150,false,false,true,false,false,false,true,true,true,,Accès libre,true,24/7,Accessibilité inconnue,Inconnu,false,Direct,N/A,2021-12-20,Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com,2023-08-02,,2023-08-02T03:05:18.427000+00:00,623ca46c13130c3228abd018,e9bb3424-77cd-40ba-8bbd-5a19362d0365,electra,2.37351,48.919733,93300,Aubervilliers,True,True
ELECTRA,891624884,help@electra.com,help@electra.com,ELECTRA,,Aubervilliers - Lab Village mobilité,Station dédiée à la recharge rapide,102 rue du Port 93300 Aubervilliers,93001,"[2.37351000,48.91973300]",4,FRELCEF443,,150,false,false,true,false,false,false,true,true,true,,Accès libre,true,24/7,Accessibilité inconnue,Inconnu,false,Direct,N/A,2021-12-20,Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com,2023-08-02,,2023-08-02T03:05:18.427000+00:00,623ca46c13130c3228abd018,e9bb3424-77cd-40ba-8bbd-5a19362d0365,electra,2.37351,48.919733,93300,Aubervilliers,True,True
ELECTRA,891624884,help@electra.com,help@electra.com,ELECTRA,,Aubervilliers - Lab Village mobilité,Station dédiée à la recharge rapide,102 rue du Port 93300 Aubervilliers,93001,"[2.37351000,48.91973300]",4,FRELCEEAKF,,150,false,false,true,false,false,false,true,true,true,,Accès libre,true,24/7,Accessibilité inconnue,Inconnu,false,Direct,N/A,2021-12-20,Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com,2023-08-02,,2023-08-02T03:05:18.427000+00:00,623ca46c13130c3228abd018,e9bb3424-77cd-40ba-8bbd-5a19362d0365,electra,2.37351,48.919733,93300,Aubervilliers,True,True
ELECTRA,891624884,help@electra.com,help@electra.com,ELECTRA,,Suresnes - Hôtel Campanile,Station dédiée à la recharge rapide,15 boulevard Henri Sellier 92150 Suresnes,92073,"[2.22618200,48.86724500]",5,FRELCED2V8,,150,false,false,true,false,false,false,true,true,true,,Accès libre,true,24/7,Accessibilité inconnue,Inconnu,false,Direct,N/A,2023-07-27,Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com,2023-08-02,,2023-08-02T03:05:18.427000+00:00,623ca46c13130c3228abd018,e9bb3424-77cd-40ba-8bbd-5a19362d0365,electra,2.226182,48.867245,92150,Suresnes,True,True
ELECTRA,891624884,help@electra.com,help@electra.com,ELECTRA,,Suresnes - Hôtel Campanile,Station dédiée à la recharge rapide,15 boulevard Henri Sellier 92150 Suresnes,92073,"[2.22618200,48.86724500]",5,FRELCEPXSD,,150,false,false,true,false,false,false,true,true,true,,Accès libre,true,24/7,Accessibilité inconnue,Inconnu,false,Direct,N/A,2023-07-27,Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com,2023-08-02,,2023-08-02T03:05:18.427000+00:00,623ca46c13130c3228abd018,e9bb3424-77cd-40ba-8bbd-5a19362d0365,electra,2.226182,48.867245,92150,Suresnes,True,True
ELECTRA,891624884,help@electra.com,help@electra.com,ELECTRA,,Suresnes - Hôtel Campanile,Station dédiée à la recharge rapide,15 boulevard Henri Sellier 92150 Suresnes,92073,"[2.22618200,48.86724500]",5,FRELCEQLVW,,150,false,false,true,false,false,false,true,true,true,,Accès libre,true,24/7,Accessibilité inconnue,Inconnu,false,Direct,N/A,2023-07-27,Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com,2023-08-02,,2023-08-02T03:05:18.427000+00:00,623ca46c13130c3228abd018,e9bb3424-77cd-40ba-8bbd-5a19362d0365,electra,2.226182,48.867245,92150,Suresnes,True,True
ELECTRA,891624884,help@electra.com,help@electra.com,ELECTRA,,Suresnes - Hôtel Campanile,Station dédiée à la recharge rapide,15 boulevard Henri Sellier 92150 Suresnes,92073,"[2.22618200,48.86724500]",5,FRELCE47MK,,22,false,true,false,false,false,false,true,true,true,,Accès libre,true,24/7,Accessibilité inconnue,Inconnu,false,Direct,N/A,2023-07-27,Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com,2023-08-02,,2023-08-02T03:05:18.427000+00:00,623ca46c13130c3228abd018,e9bb3424-77cd-40ba-8bbd-5a19362d0365,electra,2.226182,48.867245,92150,Suresnes,True,True
ELECTRA,891624884,help@electra.com,help@electra.com,ELECTRA,,Suresnes - Hôtel Campanile,Station dédiée à la recharge rapide,15 boulevard Henri Sellier 92150 Suresnes,92073,"[2.22618200,48.86724500]",5,FRELCEB2KP,,150,false,false,true,false,false,false,true,true,true,,Accès libre,true,24/7,Accessibilité inconnue,Inconnu,false,Direct,N/A,2023-07-27,Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com,2023-08-02,,2023-08-02T03:05:18.427000+00:00,623ca46c13130c3228abd018,e9bb3424-77cd-40ba-8bbd-5a19362d0365,electra,2.226182,48.867245,92150,Suresnes,True,True
